"Ma","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","p"
0.23812,0.045455,0.23127,0,494.39,5.293,-0.12446,0,8.1059e+05
0.23791,0.054545,0.23127,0,494.4,5.2883,-0.12947,0,8.1065e+05
0.23769,0.063636,0.23127,0,494.41,5.2834,-0.13545,0,8.1071e+05
0.23747,0.072727,0.23127,0,494.42,5.2784,-0.14245,0,8.1076e+05
0.23724,0.081818,0.23127,0,494.43,5.2731,-0.15056,0,8.1082e+05
0.23701,0.090909,0.23127,0,494.45,5.2678,-0.15983,0,8.1088e+05
0.23678,0.1,0.23127,0,494.46,5.2624,-0.17035,0,8.1095e+05
0.23655,0.10909,0.23127,0,494.47,5.2569,-0.18219,0,8.1101e+05
0.23631,0.11818,0.23127,0,494.48,5.2512,-0.19545,0,8.1107e+05
0.23608,0.12727,0.23127,0,494.49,5.2456,-0.21024,0,8.1113e+05
0.23586,0.13636,0.23127,0,494.5,5.2399,-0.22666,0,8.1119e+05
0.23564,0.14545,0.23127,0,494.51,5.2342,-0.24483,0,8.1125e+05
0.23543,0.15455,0.23127,0,494.52,5.2287,-0.26486,0,8.1131e+05
0.23524,0.16364,0.23127,0,494.53,5.2234,-0.28685,0,8.1136e+05
0.23508,0.17273,0.23127,0,494.53,5.2184,-0.31095,0,8.1141e+05
0.23494,0.18182,0.23127,0,494.54,5.2138,-0.33727,0,8.1144e+05
0.23485,0.19091,0.23127,0,494.54,5.2098,-0.3659,0,8.1147e+05
0.23482,0.2,0.23127,0,494.55,5.2064,-0.40214,1.5737e-20,8.1149e+05
0.23914,0,0.24608,0,494.35,5.316,-0.10608,0,8.1035e+05
0.23904,0.0090909,0.24608,0,494.35,5.3137,-0.10623,0,8.1035e+05
0.23875,0.018182,0.24608,0,494.37,5.3073,-0.10703,0,8.104e+05
0.23839,0.027273,0.24608,0,494.38,5.2993,-0.10892,0,8.105e+05
0.23806,0.036364,0.24608,0,494.4,5.2921,-0.11191,0,8.106e+05
0.23777,0.045455,0.24608,0,494.41,5.2857,-0.11583,0,8.1068e+05
0.2375,0.054545,0.24608,0,494.42,5.2795,-0.12063,0,8.1075e+05
0.23721,0.063636,0.24608,0,494.44,5.273,-0.12637,0,8.1082e+05
0.2369,0.072727,0.24608,0,494.45,5.2662,-0.13312,0,8.109e+05
0.23659,0.081818,0.24608,0,494.46,5.2591,-0.14095,0,8.1099e+05
0.23627,0.090909,0.24608,0,494.48,5.2518,-0.14993,0,8.1107e+05
0.23594,0.1,0.24608,0,494.49,5.2443,-0.16016,0,8.1116e+05
0.23561,0.10909,0.24608,0,494.51,5.2365,-0.17172,0,8.1124e+05
0.23526,0.11818,0.24608,0,494.53,5.2284,-0.18473,0,8.1133e+05
0.23491,0.12727,0.24608,0,494.54,5.2201,-0.19931,0,8.1143e+05
0.23455,0.13636,0.24608,0,494.56,5.2116,-0.21559,0,8.1152e+05
0.23419,0.14545,0.24608,0,494.58,5.2029,-0.2337,0,8.1161e+05
0.23383,0.15455,0.24608,0,494.59,5.1941,-0.2538,0,8.1171e+05
0.23349,0.16364,0.24608,0,494.61,5.1853,-0.27604,0,8.118e+05
0.23315,0.17273,0.24608,0,494.62,5.1766,-0.30056,0,8.1189e+05
0.23285,0.18182,0.24608,0,494.64,5.1682,-0.32752,0,8.1197e+05
0.23258,0.19091,0.24608,0,494.65,5.1603,-0.35704,0,8.1205e+05
0.23234,0.2,0.24608,0,494.66,5.1523,-0.3947,-3.2064e-20,8.1212e+05
0.23912,0,0.2598,0,494.35,5.3157,-0.096684,0,8.1035e+05
0.23899,0.0090909,0.2598,0,494.36,5.3129,-0.096827,0,8.1035e+05
0.23865,0.018182,0.2598,0,494.37,5.3053,-0.097566,0,8.1042e+05
0.23821,0.027273,0.2598,0,494.39,5.2957,-0.09932,0,8.1054e+05
0.23782,0.036364,0.2598,0,494.41,5.287,-0.1021,0,8.1065e+05
0.23747,0.045455,0.2598,0,494.42,5.2793,-0.10576,0,8.1075e+05
0.23713,0.054545,0.2598,0,494.44,5.2717,-0.11026,0,8.1084e+05
0.23678,0.063636,0.2598,0,494.46,5.2637,-0.11565,0,8.1093e+05
0.2364,0.072727,0.2598,0,494.47,5.2554,-0.12201,0,8.1103e+05
0.23601,0.081818,0.2598,0,494.49,5.2466,-0.12941,0,8.1113e+05
0.23561,0.090909,0.2598,0,494.51,5.2376,-0.13793,0,8.1123e+05
0.23519,0.1,0.2598,0,494.53,5.2281,-0.14767,0,8.1134e+05
0.23476,0.10909,0.2598,0,494.55,5.2182,-0.15873,0,8.1146e+05
0.2343,0.11818,0.2598,0,494.57,5.2078,-0.17124,0,8.1157e+05
0.23383,0.12727,0.2598,0,494.59,5.197,-0.18533,0,8.1169e+05
0.23335,0.13636,0.2598,0,494.61,5.1857,-0.20116,0,8.1182e+05
0.23285,0.14545,0.2598,0,494.64,5.1741,-0.21891,0,8.1195e+05
0.23235,0.15455,0.2598,0,494.66,5.1621,-0.23875,0,8.1208e+05
0.23184,0.16364,0.2598,0,494.68,5.1498,-0.26087,0,8.1221e+05
0.23134,0.17273,0.2598,0,494.7,5.1374,-0.28547,0,8.1234e+05
0.23085,0.18182,0.2598,0,494.73,5.1251,-0.31273,0,8.1247e+05
0.23039,0.19091,0.2598,0,494.75,5.113,-0.34283,0,8.126e+05
0.22994,0.2,0.2598,0,494.77,5.1003,-0.38163,-1.0487e-20,8.1272e+05
0.2391,0,0.27251,0,494.35,5.3155,-0.086493,0,8.1036e+05
0.23896,0.0090909,0.27251,0,494.36,5.3123,-0.08662,0,8.1036e+05
0.23856,0.018182,0.27251,0,494.38,5.3036,-0.087288,0,8.1044e+05
0.23807,0.027273,0.27251,0,494.4,5.2926,-0.088881,0,8.1057e+05
0.23761,0.036364,0.27251,0,494.42,5.2826,-0.091412,0,8.107e+05
0.23721,0.045455,0.27251,0,494.44,5.2737,-0.094754,0,8.1081e+05
0.23682,0.054545,0.27251,0,494.45,5.265,-0.098879,0,8.1091e+05
0.2364,0.063636,0.27251,0,494.47,5.2558,-0.10384,0,8.1102e+05
0.23597,0.072727,0.27251,0,494.49,5.2461,-0.1097,0,8.1113e+05
0.23551,0.081818,0.27251,0,494.51,5.2358,-0.11653,0,8.1125e+05
0.23503,0.090909,0.27251,0,494.54,5.2251,-0.12444,0,8.1138e+05
0.23453,0.1,0.27251,0,494.56,5.2139,-0.13351,0,8.1151e+05
0.234,0.10909,0.27251,0,494.58,5.2021,-0.14386,0,8.1164e+05
0.23345,0.11818,0.27251,0,494.61,5.1896,-0.15564,0,8.1178e+05
0.23287,0.12727,0.27251,0,494.64,5.1764,-0.16898,0,8.1193e+05
0.23227,0.13636,0.27251,0,494.66,5.1626,-0.18408,0,8.1209e+05
0.23164,0.14545,0.27251,0,494.69,5.1481,-0.20114,0,8.1225e+05
0.23099,0.15455,0.27251,0,494.72,5.1329,-0.22038,0,8.1241e+05
0.23032,0.16364,0.27251,0,494.75,5.1172,-0.24203,0,8.1259e+05
0.22964,0.17273,0.27251,0,494.78,5.1011,-0.26636,0,8.1276e+05
0.22897,0.18182,0.27251,0,494.81,5.0847,-0.2936,0,8.1294e+05
0.22831,0.19091,0.27251,0,494.84,5.0685,-0.32399,0,8.1311e+05
0.22764,0.2,0.27251,0,494.87,5.0508,-0.36366,-7.6398e-21,8.1328e+05
0.23909,0,0.28428,0,494.35,5.3154,-0.075865,0,8.1036e+05
0.23893,0.0090909,0.28428,0,494.36,5.3118,-0.075982,0,8.1036e+05
0.23849,0.018182,0.28428,0,494.38,5.3022,-0.076572,0,8.1045e+05
0.23794,0.027273,0.28428,0,494.4,5.2901,-0.077983,0,8.1059e+05
0.23744,0.036364,0.28428,0,494.43,5.2789,-0.080242,0,8.1074e+05
0.23699,0.045455,0.28428,0,494.45,5.2691,-0.083233,0,8.1086e+05
0.23655,0.054545,0.28428,0,494.47,5.2594,-0.086931,0,8.1098e+05
0.23609,0.063636,0.28428,0,494.49,5.2491,-0.091382,0,8.111e+05
0.2356,0.072727,0.28428,0,494.51,5.2382,-0.096655,0,8.1122e+05
